Column1.id,Column1.url,Column1.category.category,Column1.category.title,Column1.text
0,https://onepiece.fandom.com/wiki/Ame_Ame_no_Mi,devil_fruits,Ame Ame no Mi,"[ of Ame Ame no Mi]

 Ame Ame no Mi Statistics Japanese Name: アメアメの実 Official English Name: Ame Ame Fruit Meaning: Candy Usage Debut: Movie 4 Type: Logia Current User: Gasparde 
The Ame Ame no Mi is a movie-only Logia Devil Fruit that allows the user to create, control, and transform into candy syrup at will. It was eaten by the main antagonist of the fourth movie, Gasparde. "
2,https://onepiece.fandom.com/wiki/Goro_Goro_no_Mi,devil_fruits,Goro Goro no Mi,"[ of Goro Goro no Mi]

 Goro Goro no Mi Statistics Japanese Name: ゴロゴロの実 Official English Name: Rumble-Rumble Fruit Meaning: Sound of Thunder Fruit Debut: One Piece Magazine Vol.17 Usage Debut: Chapter 241; Episode 155 Type: Logia Current User: Enel 
The Goro Goro no Mi is a Logia-type Devil Fruit that grants the power to create, control, and become lightning at will, making the user a Lightning Human (雷人間, Kaminari Ningen?); it is one of the few abilities touted as ""invincible"" according to Nico Robin. The fruit was eaten by Enel. "
3,https://onepiece.fandom.com/wiki/Hie_Hie_no_Mi,devil_fruits,Hie Hie no Mi,"[ of Hie Hie no Mi]

 Hie Hie no Mi Statistics Japanese Name: ヒエヒエの実 Official English Name: Ice-Ice Fruit (Funimation);Chilly-Chilly Fruit (VIZ manga);Hie-Hie Fruit (One Piece Official YouTube Channel) Meaning: Chilly Usage Debut: Chapter 303; Episode 225 Type: Logia Current User: Kuzan 
The Hie Hie no Mi is a Logia-type Devil Fruit that allows the user to create, control, and transform into ice at will, turning them into a Freezing Human (氷結人間, Hyōketsu Ningen?). It was eaten by Kuzan, better known as former Admiral Aokiji. "
4,https://onepiece.fandom.com/wiki/Magu_Magu_no_Mi,devil_fruits,Magu Magu no Mi,"[ of Magu Magu no Mi]

 Magu Magu no Mi Statistics Japanese Name: マグマグの実 Official English Name: Mag-Mag Fruit (VIZ)Magma-Magma Fruit Meaning: Magma Usage Debut: Chapter 554; Episode 463 Type: Logia Current User: Sakazuki The Magu Magu no Mi is a Logia-type Devil Fruit that allows the user to create, control, and transform into magma at will, turning the user into a Magma Human (マグマ人間, Maguma Ningen?). It was eaten by Fleet Admiral Sakazuki, formerly known as Admiral Akainu. 
The fruit's power was first shown during the Summit War of Marineford, but its name was not revealed until SBS Volume 62. "
1,https://onepiece.fandom.com/wiki/Gasu_Gasu_no_Mi,devil_fruits,Gasu Gasu no Mi,"[ of Gasu Gasu no Mi]

 Gasu Gasu no Mi Statistics Japanese Name: ガスガスの実 Official English Name: Gas-Gas Fruit Meaning: Gas Usage Debut: Chapter 658; Episode 581 Type: Logia Current User: Caesar Clown 
The Gasu Gasu no Mi is a Logia-type Devil Fruit that allows the user to create, control, and transform into  gas at will. It was eaten by Caesar Clown. "
5,https://onepiece.fandom.com/wiki/Mera_Mera_no_Mi,devil_fruits,Mera Mera no Mi,"[ of Mera Mera no Mi]

 Mera Mera no Mi Statistics Japanese Name: メラメラの実 Official English Name: Flame-Flame Fruit (VIZ, Funimation dub);Flare-Flare Fruit (4Kids, Funimation subs) Meaning: Sound of fire burning Fruit Debut: Chapter 700; Episode 629 Usage Debut: Chapter 158; Episode 94 Type: Logia Previous User: Portgas D. Ace Current User: Sabo 
The Mera Mera no Mi is a Logia-type Devil Fruit that allows the user to create, control, and transform into fire at will. It was previously eaten by Portgas D. Ace, and currently by Sabo. "
0,"https://onepiece.fandom.com/wiki/Hebi_Hebi_no_Mi,_Model:_Anaconda",devil_fruits,"Hebi Hebi no Mi, Model: Anaconda","[ of Hebi Hebi no Mi, Model: Anaconda]

 Hebi Hebi no Mi, Model: Anaconda Statistics Japanese Name: ヘビヘビの実 モデル アナコンダ Romanized Name: Hebi Hebi no Mi, Moderu: Anakonda Official English Name: Snake-Snake Fruit Anaconda Model (Viz);Snake-Snake Fruit: Model Anaconda (FUNimation) Meaning: Snake Usage Debut: Chapter 518; Episode 412 Type: Zoan Current User: Boa Sandersonia 
The Hebi Hebi no Mi, Model: Anaconda is a Zoan-type Devil Fruit that allows its user to transform into an anaconda hybrid and a full anaconda at will. It was eaten by Boa Sandersonia, who was force-fed it by a World Noble. "
0,https://onepiece.fandom.com/wiki/Ato_Ato_no_Mi,devil_fruits,Ato Ato no Mi,"[ of Ato Ato no Mi]

 Ato Ato no Mi Statistics Japanese Name: アトアトの実 Official English Name: Art-Art Fruit Meaning: Art Usage Debut: Chapter 714; Episode 635 Type: Paramecia Current User: Giolla 
The Ato Ato no Mi is a Paramecia-class Devil Fruit that allows the user to turn people or objects into abstract art, turning the user into an Art Human (芸術人間, Āto Ningen?). It was eaten by Giolla. "
2,https://onepiece.fandom.com/wiki/Baku_Baku_no_Mi,devil_fruits,Baku Baku no Mi,"[ of Baku Baku no Mi]

 Baku Baku no Mi Statistics Japanese Name: バクバクの実 Official English Name: Munch-Munch FruitBaku Baku Fruit (Manga Entertainment) Meaning: Sound of Chomping Fruit Debut: One Piece Magazine Vol.9 Usage Debut: Chapter 131; Episode 79 Type: Paramecia Current User: Wapol 
The Baku Baku no Mi is a Paramecia-type Devil Fruit that allows the user to eat otherwise-inedible objects, then later manifesting them from their body. It was eaten by Wapol, king of the Black Drum Kingdom. "
8,https://onepiece.fandom.com/wiki/Numa_Numa_no_Mi,devil_fruits,Numa Numa no Mi,"[ of Numa Numa no Mi]

 Numa Numa no Mi Statistics Japanese Name: ヌマヌマの実 Official English Name: Swamp-Swamp Fruit Meaning: Swamp Usage Debut: Chapter 603; Episode 521 Type: Logia Current User: Caribou The Numa Numa no Mi is a Logia-type Devil Fruit that allows the user to create, control, and transform into ""swamp"" making the user a Swamp Human (沼人間, Numa Ningen?). It was eaten by Caribou. "
